Target,Model,Best_CV_R2,Test_RMSE,Test_MAE,Test_R2
Incidence Rate,Random Forest,-0.8285743496782428,38.701638865566174,34.12794373581346,-1.045549687165634
Incidence Rate,XGBoost,-2.159818501502199,35.26751428250627,25.312522693182455,-0.6986387326060408
Incidence Rate,SVR,-0.06074186111673154,41.02856873094259,38.69550593721849,-1.2989210395320425
Infection Prevalence,Random Forest,-0.9170587473760282,3.983964609432304,3.70914277434051,-0.5893502148955028
Infection Prevalence,XGBoost,-1.9227927064559218,4.036458714738685,3.1234780582299067,-0.6315098157703711
Infection Prevalence,SVR,0.24373614007623737,3.6637018915456143,3.0707953160538657,-0.34409176037445777
Mortality Rate,Random Forest,0.6303173432434284,9.954745058404395,7.787586309696384,0.7270260086544991
Mortality Rate,XGBoost,0.34237721652805475,7.948718862555884,7.012996278616289,0.8259575216428181
Mortality Rate,SVR,0.6945486526919816,13.580867467365053,9.097418580995916,0.4919388257575713
